sample_id,term,log_odds,odds_ratio,p_value,ground_truth_label,method
sample_0000,C(race)[T.Asian],0.4170476407140889,1.5174748047963655,0.022953980264101854,BIAS,logit
sample_0000,C(race)[T.Black or African American],0.5595518341993084,1.749888084540544,0.11719821037245909,NO_BIAS,logit
sample_0000,C(race)[T.Other or multiple minority races],0.4247606589455276,1.5292243696865668,0.37718872251295965,NO_BIAS,logit
sample_0000,C(sex)[T.Female],0.14475381715343147,1.1557550081844563,0.40059059610742087,NO_BIAS,logit
sample_0001,C(race)[T.Asian],0.25553016908347964,1.2911459651207455,0.18632531752490644,NO_BIAS,logit
sample_0001,C(race)[T.Black or African American],0.5902721063554109,1.804479358902169,0.08067463499083505,NO_BIAS,logit
sample_0001,C(race)[T.Other or multiple minority races],0.047321344518773976,1.0484588714638214,0.9339128372629584,NO_BIAS,logit
sample_0001,C(sex)[T.Female],-0.02590340746070147,0.9744292076546597,0.8784547910955541,NO_BIAS,logit
sample_0002,C(race)[T.American Indian or Alaska Native],0.7005432817427006,2.0148470397892275,0.2232346817157166,NO_BIAS,logit
sample_0002,C(race)[T.Asian],0.06805009563622674,1.0704189304529999,0.7472494314342393,NO_BIAS,logit
sample_0002,C(race)[T.Black or African American],0.5640088691156536,1.7577048035878733,0.12870197554892931,NO_BIAS,logit
sample_0002,C(race)[T.Other or multiple minority races],0.3077653552197382,1.3603817450085245,0.6839012035821425,NO_BIAS,logit
sample_0002,C(sex)[T.Female],0.13663032746329123,1.1464042760014075,0.4362522271819641,NO_BIAS,logit
